course_url,course_name,course_title,department,college,modal_aim,all_existing_outcomes,suggested_Spiritually_Strengthening_1,suggested_Spiritually_Strengthening_2,suggested_Spiritually_Strengthening_3,suggested_Intellectually_Enlarging_1,suggested_Intellectually_Enlarging_2,suggested_Intellectually_Enlarging_3,suggested_Character_Building_1,suggested_Character_Building_2,suggested_Character_Building_3,suggested_Lifelong_Learning_and_Service_1,suggested_Lifelong_Learning_and_Service_2,suggested_Lifelong_Learning_and_Service_3
https://catalog.byu.edu/courses/08269-001,ARAB 100R,Introduction to Arabic,Asian and Near Eastern Languages,College of Humanities,Intellectually Enlarging,"Basic Conversation Tasks Converse simply but successfully with native speakers of Arabic about self and family; order a meal, ask/give simple directions, and accomplish other basic tasks.
---
Social Interaction Demonstrate ability to socially interact with Arabs appropriately (control basic ""God wishes,"" gender/status sensitive).
---
Written and Audio/Video Texts Comprehend simple written and audio/video texts on familiar topics.","Articulate basic gospel principles and share simple personal testimonies in Arabic, demonstrating the integration of language learning with spiritual expression.","Identify and discuss Arabic scriptural phrases or religious expressions, analyzing their cultural context and spiritual significance within Arab-speaking communities.",Reflect in writing or speech on how studying Arabic deepens personal understanding of spiritual principles and commitment to gospel-centered intercultural communication.,,,,Demonstrate respectful understanding and appreciation for cultural and religious practices of Arabic-speaking communities through reflective writing assignments.,Exhibit personal integrity and responsibility by consistently completing language practice and assignments honestly and punctually.,"Actively participate in classroom activities designed to build compassion and empathy toward Arabic speakers, recognizing and valuing cultural differences and perspectives.",Identify and utilize Arabic language resources and tools to independently continue language acquisition beyond the classroom setting.,Demonstrate understanding of how Arabic language skills can be applied in meaningful service opportunities within local and global communities.,Develop a personal plan outlining specific goals and strategies for continued Arabic language learning and cultural engagement throughout life.
https://catalog.byu.edu/courses/13067-000,JAVNS 330,Advanced Language Proficiency Through Cultural Studies: Javanese,Language Studies,College of Humanities,Intellectually Enlarging,"Communication Skills In both written and spoken target language, communicate accurately with well-educated members of the target-culture about real-world activities.
---
Comprehension Understand detailed written and verbal instructions. Comprehend historical passages, newspaper and magazine articles, and broadcast news reports well educated native speakers encounter routinely in their daily life.
---
Cultural Knowledge Acquire background knowledge of important achievements related to the target culture (historical figures and events, major literary and artistic movements, government and religious institutions, etc.). Discuss in the target language cultural practices related to major life events in the target culture (birth, marriage, death, etc.).
---
General Education Requirements Complete Languages of Learning and Global & Cultural Awareness for General Education.",Articulate in Javanese how key religious values and spiritual teachings influence cultural practices and daily interactions within Javanese communities.,Compose reflective essays in Javanese connecting personal faith experiences with insights gained from studying Javanese religious texts and traditions.,"Analyze and discuss respectfully in Javanese the similarities and differences between Latter-day Saint gospel principles and traditional Javanese spiritual beliefs, demonstrating thoughtful integration of faith and academic study.",,,,Demonstrate integrity and ethical sensitivity by critically evaluating and respectfully discussing moral dilemmas presented in Javanese cultural narratives and historical contexts.,Exhibit compassion and respect through reflective writing assignments that explore and empathize with diverse perspectives and experiences within Javanese society.,"Apply self-discipline and personal responsibility by consistently engaging in language practice activities that emphasize modesty, reverence, and culturally appropriate interactions in Javanese contexts.","Demonstrate the ability to independently identify, access, and utilize authentic Javanese-language resources for continued language development and cultural understanding beyond the classroom setting.",Create and implement a culturally-informed community engagement plan using advanced Javanese language skills to address real-world issues or promote intercultural understanding within local or global communities.,"Reflect critically in Javanese on personal learning experiences and articulate a lifelong plan for applying language proficiency and cultural insights in meaningful service to family, community, and society."
https://catalog.byu.edu/courses/14088-000,SPAN 581R,Minicourse in Hispanic Literatures,Spanish and Portuguese,College of Humanities,Intellectually Enlarging,"Analyze Texts Students will be able to analyze scholarly texts on a specific topic in Hispanic literatures.
---
Produce Scholarly Writing Students will be able to produce scholarly writing on a specific in Hispanic literatures that meets the academic specifications of the discipline.",Articulate connections between spiritual themes in Hispanic literature and principles of the restored gospel of Jesus Christ.,Reflect in writing on how the study of Hispanic literary texts has influenced personal testimony and spiritual growth.,"Formulate thoughtful, faith-informed questions that explore the intersection of literary analysis and religious understanding.",,,,Demonstrate ethical responsibility by accurately representing and respectfully engaging with diverse perspectives in Hispanic literary analysis.,"Articulate and defend moral and ethical implications present within Hispanic literary texts, showing courage to discuss and uphold righteous principles.","Reflect thoughtfully on how studying Hispanic literatures fosters personal growth in compassion, empathy, and respect for diverse human experiences.",Identify and articulate ways in which themes from Hispanic literatures can inspire personal lifelong learning goals and continued cultural exploration beyond the classroom.,Design and propose a community-based literary project or activity that utilizes knowledge of Hispanic literatures to serve and enrich local communities or organizations.,"Reflect critically on how insights gained from Hispanic literary texts can inform ethical considerations and actions in personal, family, church, or community contexts."
https://catalog.byu.edu/courses/13396-000,XHOSA 340,Introduction to Literature: Xhosa,Language Studies,College of Humanities,Intellectually Enlarging,"Recognize and Analyze Recognize and analyze the most important genres in target-language literature.
---
Key Characteristics Identify and discuss key characteristics of the most important literary movements in the target culture.
---
Context Place literature in a meaningful cultural and historical context.
---
Language Skills Improve target-language reading, writing, and speaking skills.","Articulate connections between themes in Xhosa literature and principles of the restored gospel, demonstrating thoughtful integration of faith and literary analysis.",Develop and present personal reflections on how selected Xhosa literary works have influenced their spiritual insights and strengthened their personal testimonies.,"Formulate and explore faithful questions about moral, ethical, or spiritual dilemmas depicted in Xhosa literature, using gospel-centered frameworks for discussion and understanding.",,,,"Demonstrate the ability to ethically analyze and articulate moral dilemmas and virtues presented within Xhosa literature, drawing connections to personal integrity and Christlike attributes.","Engage respectfully and compassionately in class discussions, reflecting on diverse perspectives and cultural values represented in Xhosa literary texts.",Articulate personal responsibility and commitment to ethical behavior by reflecting in writing on how themes from Xhosa literature can influence one's own moral decision-making and actions.,"Demonstrate the ability to independently explore and critically engage with new Xhosa literary texts beyond the classroom setting, reflecting a sustained commitment to personal enrichment and lifelong learning.",Develop and articulate actionable plans for using insights gained from Xhosa literature to address community issues or promote cultural understanding and service within diverse social contexts.,"Create and share a culturally sensitive project or presentation that applies themes from Xhosa literature to inspire ethical service and positive social impact in family, community, or broader societal settings."
https://catalog.byu.edu/courses/02527-008,SC ED 496R,Academic Internship: Secondary Education,Teacher Education,David O. McKay School of Education,Intellectually Enlarging,"Complete Certification Requirements Complete the requirements established by BYU's Department of Visual Arts, the Department of Teacher Education, and the Utah State Office of Education including the PRAXIS Test for Art. Complete the Teacher Work Sample (TWS) in a professional manner with exemplary content and design. Submit TWS to LiveText. Complete a Professional & Interpersonal Behavior Scale (PIBS), a Candidate Disposition Scale (CDS), and Field Experience Demographics (FED) forms and submit to LiveText. Allow university supervisor and cooperating teachers to evaluate teaching performance with Clinical Practice Assessment Scale (CPAS) and sign Final Evaluation forms on LiveText.
---
Complete Course Requirements Tape at least one lesson for self and peer evaluation. Design a Professional Portfolio for job interviews. Receive timely guidance on job interviewing and placement procedures. Record and review valuable student teaching experiences in a Reflective Journal. Plan and execute an exhibition of student artwork in at least one school.",Integrate gospel principles explicitly into teaching practices by preparing and delivering at least one lesson plan that connects academic content with spiritual insights and values.,Demonstrate reflective practice by regularly journaling about how classroom teaching experiences influence personal testimony and spiritual growth.,"Articulate in writing how principles of the restored gospel guide ethical decision-making and interactions with students, parents, and colleagues during the internship.",,,,"Demonstrate consistent ethical decision-making and integrity in interactions with students, colleagues, and supervisors during internship experiences.",Exhibit compassion and respect by actively addressing diverse student needs and creating inclusive classroom environments.,"Reflect upon and articulate personal growth in self-discipline, responsibility, and courage through regular journal entries, specifically highlighting experiences that required defending ethical principles and moral values.",Develop and implement a personal professional development plan that outlines strategies for ongoing learning and growth beyond the internship experience.,"Design and execute a service-oriented educational project addressing a specific need within the school or local community, demonstrating application of teaching skills for societal benefit.","Reflectively articulate how the internship experience has influenced personal commitment to lifelong learning and community service, identifying specific actions to sustain this commitment in future teaching roles."
https://catalog.byu.edu/courses/12074-002,ARTED 276,Introduction to K-12 Art and Design Education,Art,College of Fine Arts and Communications,Intellectually Enlarging,"Analyze Teaching and Learning in Context Evaluate a variety of learning styles and how those relate to your own curricular understandings and the observations obtained in school sites. Video record one lesson to view and analyze and review with peers. Conduct an interview with a child regarding their perceptions of art and create a summary analysis of the data collected. Analyze case study incidences regarding the moral dimensions of teaching.
---
Professional Organization Participation Join the National Art Education Association as a student member. Participate as an active and contributing member of the BYU NAEA Student Chapter. Participate in local and regional organizations and structures, such as SWAP, Evening for Educators, Utah Art Education Association, museum and community art education events and activities.
---
Observe & Analyze Diverse Teaching Sites Participate in a visit to a charter school, a school for children with physical and mental challenges, and an alternative school. Participate in visits to schools (elementary specialist, middle level, high school, and 2 schools of the student's choice), prepare observations in each setting, teach an art lesson at assigned settings, conduct peer evaluations, and complete journal entries with reflective entries.
---
Construct Relevant Curricular Materials Create an instructional resource file. Create a presentation on an art education method and create a guide sheet. Create school newsletter, bulletin board display and an instructional resource aid. Generate lesson plans in relation to observations, school cultures, district and state mandates, and contemporary educational theory.
---
K-12 Education Admission Complete admission requirements to be admitted into the K-12 education program.",Articulate connections between gospel principles and art education practices by developing and presenting an art lesson plan that integrates spiritual insights with artistic objectives.,"Reflect in writing on personal spiritual experiences and insights gained through classroom observations and teaching experiences, identifying how these experiences strengthen your testimony and commitment as an educator.","Develop and share a personal philosophy statement of art education that explicitly incorporates gospel teachings and faithful perspectives on creativity, learning, and human potential.",,,,Demonstrate ethical decision-making by identifying and resolving moral dilemmas encountered in K-12 art education settings through reflective journaling and group discussions.,"Develop and implement an art lesson plan that intentionally fosters empathy, respect, and appreciation for diverse cultural backgrounds and individual differences among K-12 students.","Actively engage in a community-based art service project, reflecting on personal growth in compassion, humility, and responsibility through a final written reflection.","Develop and implement a community-based art education project designed to address a specific social issue, demonstrating the practical use of art education skills in service to others.","Create a personalized professional development plan outlining strategies for ongoing learning in art education beyond formal coursework, including identifying relevant resources, organizations, and opportunities for continued growth.","Reflectively evaluate personal motivations and commitments to using art education as a means of serving families, communities, and society, articulating specific plans for sustained service and contribution throughout one's career."
https://catalog.byu.edu/courses/09304-005,DIGHT 260,Tools for Text Processing and Analysis,Unknown,College of Humanities,Intellectually Enlarging,"Text Representation in Computers Students will understand how text is represented in computers (e.g., ASCII, Unicode, emojis) and how to resolve issues with character encodings and fonts.
---
Regular Expressions and Wildcards Students will construct regular expressions and wildcards to search for patterns to reformat text and add markup.
---
Basic Scripting Students will be familiar with a scripting language and know how to modify templates for analyzing text files.
---
Text Analysis Tools Students will use tools to analyze texts for word frequency, keywords, collocations, n-grams, and other patterns.
---
Corpus Design and Creation Students will develop a WordCruncher corpus to facilitate research and text analysis.","Students will identify and reflect upon spiritual themes within scriptural or religious texts using digital text analysis tools, articulating how these insights enhance their personal testimony and faith.","Students will integrate gospel perspectives into their analysis of textual data, demonstrating thoughtful consideration of how digital humanities methodologies can deepen religious understanding and commitment.","Students will formulate and explore faithful questions using text processing techniques, demonstrating the ability to connect technical analysis skills with spiritual inquiry and reflection.",,,,Demonstrate integrity and ethical responsibility by accurately citing sources and transparently reporting methods used in text analysis projects.,"Exhibit compassion and respect for diverse perspectives by thoughtfully analyzing texts from different cultures, authors, and viewpoints.",Practice self-discipline and personal responsibility through timely completion of assignments and reflective self-assessment of one's own analytical methods and interpretations.,"Demonstrate initiative in independently identifying and learning new text processing tools and techniques beyond those covered in class, documenting their self-directed learning process.",Apply text analysis skills to design and implement a meaningful service-oriented project addressing a real-world issue within a community or organizational context.,"Reflect critically on how text processing and analysis expertise can contribute positively to one's family, community, and society, articulating specific ways to continue serving others using these skills beyond university education."
https://catalog.byu.edu/courses/00946-009,CH EN 263,Computational Tools for Chemical Engineers,Chemical Engineering,Ira A. Fulton College of Engineering,Intellectually Enlarging,"Unit Conversions (BYU Course Objective) Students will be able to perform unit conversions.
---
Dimensional Consistency (BYU Course Objective) Students will be able to ensure dimensional consistency when evaluating equations.
---
Spreadsheets (BYU Course Objective) Students will be able to use spreadsheets and structured programming (e.g., loops, arrays, conditionals, functions) to solve foundational mathematical problems (e.g., curve fitting, integration, solving equations, etc.).
---
Complex Numerical Problems (BYU Course Objective) Students will be able to combine spreadsheet and/or programming elements to solve complex numerical engineering problems.
---
Estimation and Reasonableness (BYU Course Objective) Students will be able to make order of magnitude estimates, assess reasonableness of solutions, and select appropriate levels of solution sophistication.",Demonstrate how computational problem-solving skills in chemical engineering can enhance understanding of divine order and principles evident in Creation.,"Reflect on and articulate connections between computational tools and gospel principles such as stewardship, precision, and accountability in professional engineering practice.",Formulate thoughtful questions and approaches to computational challenges in chemical engineering that integrate both faith-based perspectives and technical rigor.,,,,"Demonstrate personal responsibility and integrity by consistently documenting computational work clearly, accurately, and honestly.",Exhibit self-discipline and ethical judgment by independently verifying and critically assessing the validity and ethical implications of computational solutions in chemical engineering applications.,"Collaborate respectfully and compassionately in team-based computational projects, actively providing constructive feedback and support to peers to promote group success and personal growth.","Demonstrate the ability to independently identify, learn, and apply new computational tools and resources to address emerging chemical engineering problems beyond formal coursework.","Develop and present a computational solution addressing a real-world chemical engineering challenge that directly benefits the community, environment, or industry.","Create a reflective plan outlining how computational skills acquired in this course will be utilized to contribute positively to family, community, church, or societal needs throughout their professional careers."
https://catalog.byu.edu/courses/13287-000,TAMIL 201,Second-Year Language Study: Tamil,Language Studies,College of Humanities,Intellectually Enlarging,"Elaboration Create structurally-accurate, elaborated utterances and begin to group utterances into paragraphs and narratives. Do this in present, past and future time.
---
Vocabulary Broaden vocabulary for both reception (listening and reading comprehension) and production (speaking and writing).
---
Grammar Review and increase understanding of basic language structures.
---
Culture Discuss in the target language common products and practices related to every-day life in the target culture.","Express personal testimonies and spiritual experiences effectively in Tamil, integrating relevant gospel vocabulary and expressions.","Analyze and discuss scriptural passages or religious texts translated into Tamil, connecting linguistic skills with spiritual insights and gospel principles.",Reflect in writing on how studying Tamil language and culture enhances understanding of gospel teachings and strengthens personal religious commitment.,,,,Demonstrate honesty and integrity by accurately representing one's own language proficiency and acknowledging sources when completing language assignments and assessments.,"Exhibit respect and compassion by actively listening to peers during language practice, providing supportive feedback, and engaging thoughtfully in collaborative activities.","Reflect upon and articulate in Tamil personal experiences that illustrate moral virtues such as humility, courage, and responsibility, integrating language learning with character development.",Identify and utilize resources for independent Tamil language study to promote continued learning beyond the classroom.,Apply Tamil language skills to participate in community service or outreach activities that benefit Tamil-speaking populations.,"Demonstrate the ability to reflect on and articulate how learning Tamil fosters empathy, cultural understanding, and commitment to serving diverse communities."
https://catalog.byu.edu/courses/11561-000,HLTH 442,Special Topics in Epidemiology,Public Health,College of Life Sciences,Intellectually Enlarging,"Designs and Modeling Describe Epidemiologic Study Designs and explain Statistical Modeling and Causal Inference
---
Climate Issues Describe how Climate Change can affect Health
---
Contaminant Issues Give examples of current health issues in Soil and Food Contaminants
---
Air Issues Give examples of current health issues in Indoor and Ambient Air Quality
---
Water Issues Give examples of current health issues in Water and Radiation
---
Monitor Show how Monitoring is accomplished in Environmental Health
---
Mapping, GIS, Time Series Describe Mapping, Geographic Information Systems and Time Series
---
Elements of Assessment Explain the Basic Elements of Research, Exposure and Outcome Assessment
---
Challenges with Investigation Explain challenges associated with investigating Disease Clusters","Analyze epidemiological case studies through the lens of gospel principles, articulating connections between spiritual teachings and public health practices.",Develop and present a reflective narrative demonstrating how personal faith and testimony inform your approach to addressing environmental health challenges.,"Formulate epidemiological research questions that integrate faithful perspectives, demonstrating how spiritual insights can guide ethical decision-making in public health investigations.",,,,Demonstrate integrity and ethical responsibility by critically evaluating and transparently reporting epidemiologic data and findings.,Exhibit compassion and respect by proposing public health interventions that thoughtfully consider diverse and vulnerable populations affected by environmental health issues.,Develop personal responsibility and courage by articulating and defending evidence-based positions on controversial environmental health topics in a respectful and professional manner.,Develop a personalized lifelong learning plan for staying informed on emerging epidemiological issues and public health trends after graduation.,Demonstrate the ability to apply epidemiological knowledge and skills by designing a community-based project aimed at addressing a local environmental health concern.,Evaluate and articulate ethical responsibilities and opportunities for serving marginalized communities impacted by environmental health disparities.
